player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Cooper Kupp,2023,8,2.362,1,5,0.5629884545885466,0.0,0.035
Cooper Kupp,2024,6,4.47,2,6,0.6173329733620261,0.012,0.999
Corey Coleman,2017,4,2.047,1,4,0.45693653826324726,0.003,0.921
Corey Davis,2017,5,2.572,1,5,0.900453219217967,0.014,0.896
Corey Davis,2018,8,4.009,2,7,1.0024564828460136,0.0,0.681
Corey Davis,2019,7,5.003,2,7,0.8882516535306874,0.012,0.997
Corey Davis,2020,6,5.346,4,6,0.5406329623691104,0.379,1.0
Corey Davis,2021,4,3.323,2,4,0.6668365616850953,0.436,1.0
Corey Davis,2022,3,2.052,1,3,0.29882436312991617,0.072,1.0
Courtland Sutton,2018,8,5.625,3,8,0.8089344843681718,0.005,0.995
Courtland Sutton,2019,13,9.448,5,12,1.0379287066075396,0.0,0.999
Courtland Sutton,2021,6,3.771,2,6,0.6622378726711422,0.001,0.994
Courtland Sutton,2022,9,6.113,3,9,1.0218762155956074,0.002,0.996
Courtland Sutton,2023,8,6.217,3,8,0.9043843209609508,0.048,0.993
Courtland Sutton,2024,13,9.861,7,13,1.0666203635783447,0.004,1.0
Curtis Samuel,2017,2,1.218,0,2,0.5920101350483791,0.308,0.91
Curtis Samuel,2018,4,3.518,2,4,0.5653989741766428,0.553,1.0
Curtis Samuel,2019,10,4.896,2,9,1.1589581528252,0.0,0.638
Curtis Samuel,2020,10,7.268,4,10,0.9757950604507074,0.001,0.997
Curtis Samuel,2022,7,4.237,1,6,0.9699644323375987,0.0,0.964
Curtis Samuel,2023,8,4.66,2,7,0.8027452896155792,0.0,0.941
Curtis Samuel,2024,3,2.514,0,3,0.5812090845814439,0.555,0.997
D.J. Chark,2018,3,1.374,0,3,0.7142296549430023,0.035,0.897
D.J. Chark,2019,12,6.146,2,10,1.1910852194532515,0.0,0.695
D.J. Chark,2020,9,4.411,1,8,1.1144859801720255,0.0,0.8
D.J. Chark,2022,4,3.121,2,4,0.3291792824586627,0.122,1.0
D.J. Chark,2023,5,2.152,1,5,0.8018079570570499,0.003,0.794
D.J. Moore,2018,10,6.916,4,10,0.8938366741189354,0.001,0.998
D.J. Moore,2019,11,9.776,7,11,0.8147539505887653,0.189,1.0
D.J. Moore,2020,10,8.133,5,10,0.9835196998535413,0.077,1.0
D.J. Moore,2021,11,6.971,3,10,1.055537303935773,0.0,0.992
D.J. Moore,2022,12,7.76,5,10,0.8126499861564018,0.0,0.997
D.J. Moore,2023,15,11.071,7,14,1.2766984765401734,0.0,1.0
D.J. Moore,2024,13,7.88,4,11,1.0419213022104885,0.0,0.986
DJ Turner,2024,1,0.106,0,1,0.3078376195334157,0.106,1.0
DK Metcalf,2019,9,6.814,4,9,0.68366951080182,0.002,1.0
DK Metcalf,2020,11,6.92,4,10,0.9453041838477177,0.0,0.998
DK Metcalf,2021,10,5.504,2,9,1.1899512595060355,0.0,0.807
DK Metcalf,2022,13,8.242,5,11,1.1097008605926195,0.0,0.993
DK Metcalf,2023,12,8.577,6,11,0.9930110774810118,0.0,1.0
DK Metcalf,2024,10,7.078,3,10,1.2007980679531425,0.017,0.987
DaeSean Hamilton,2018,4,2.806,0,4,0.8392639632439844,0.205,0.937
DaeSean Hamilton,2019,4,2.097,1,4,0.4142354402993544,0.003,0.961
DaeSean Hamilton,2020,3,2.688,1,3,0.46974035381261425,0.691,1.0
Damiere Byrd,2017,1,0.817,0,1,0.38666652298847903,0.817,1.0
Damiere Byrd,2019,3,2.139,0,3,0.37640270987334834,0.149,0.999
Damiere Byrd,2020,4,3.154,1,4,0.6405341520949528,0.291,0.997
Damiere Byrd,2021,3,2.734,1,3,0.4787943190974596,0.751,1.0
Damiere Byrd,2022,1,0.985,0,1,0.1215524578114322,0.985,1.0
Danny Amendola,2017,5,2.719,0,5,0.7496926036716649,0.001,0.964
Danny Amendola,2018,7,5.102,2,7,0.9130147862986667,0.057,0.998
